lat	lon
26.5	-95.5
26.5	-95
26.5	-94.5
26.5	-94
26.5	-93.5
26.5	-93
26.5	-92.5
26.5	-92
26.5	-91.5
26.5	-91
26.5	-90.5
26.5	-90
26.5	-89.5
26.5	-89
26.5	-88.5
26.5	-88
26.5	-87.5
26.5	-87
26.5	-86.5
26.5	-86
26.5	-85.5
26.5	-85
27	-120
27	-119.5
27	-119
27	-118.5
27	-118
27	-117.5
27	-117
27	-116.5
27	-116
27	-115.5
27	-115
27	-114.5
27	-111.5
27	-111
27	-110.5
27	-110
27	-97
27	-96.5
27	-96
27	-95.5
27	-95
27	-94.5
27	-94
27	-93.5
27	-93
27	-92.5
27	-92
27	-91.5
27	-91
27	-90.5
27	-90
27	-89.5
27	-89
27	-88.5
27	-88
27	-87.5
27	-87
27	-86.5
27	-86
27	-85.5
27	-85
27.5	-120
27.5	-119.5
27.5	-119
27.5	-118.5
27.5	-118
27.5	-117.5
27.5	-117
27.5	-116.5
27.5	-116
27.5	-115.5
27.5	-115
27.5	-112
27.5	-111.5
27.5	-111
27.5	-97
27.5	-96.5
27.5	-96
27.5	-95.5
27.5	-95
27.5	-94.5
27.5	-94
27.5	-93.5
27.5	-93
27.5	-92.5
27.5	-92
27.5	-91.5
27.5	-91
27.5	-90.5
27.5	-90
27.5	-89.5
27.5	-89
27.5	-88.5
27.5	-88
27.5	-87.5
27.5	-87
27.5	-86.5
27.5	-86
27.5	-85.5
27.5	-85
28	-120
28	-119.5
28	-119
28	-118.5
28	-118
28	-117.5
28	-117
28	-116.5
28	-116
28	-115.5
28	-115
28	-114.5
28	-112.5
28	-112
28	-111.5
28	-96.5
28	-96
28	-95.5
28	-95
28	-94.5
28	-94
28	-93.5
28	-93
28	-92.5
28	-92
28	-91.5
28	-91
28	-90.5
28	-90
28	-89.5
28	-89
28	-88.5
28	-88
28	-87.5
28	-87
28	-86.5
28	-86
28	-85.5
28	-85
28.5	-120
28.5	-119.5
28.5	-119
28.5	-118.5
28.5	-118
28.5	-117.5
28.5	-117
28.5	-116.5
28.5	-116
28.5	-115.5
28.5	-115
28.5	-114.5
28.5	-113
28.5	-112.5
28.5	-112
28.5	-96
28.5	-95.5
28.5	-95
28.5	-94.5
28.5	-94
28.5	-93.5
28.5	-93
28.5	-92.5
28.5	-92
28.5	-91.5
28.5	-91
28.5	-90.5
28.5	-90
28.5	-89.5
28.5	-89
28.5	-88.5
28.5	-88
28.5	-87.5
28.5	-87
28.5	-86.5
28.5	-86
28.5	-85.5
28.5	-85
29	-120
29	-119.5
29	-119
29	-118.5
29	-118
29	-117.5
29	-117
29	-116.5
29	-116
29	-115.5
29	-115
29	-113
29	-94.5
29	-94
29	-93.5
29	-93
29	-92.5
29	-92
29	-91.5
29	-91
29	-90.5
29	-90
29	-89.5
29	-89
29	-88.5
29	-88
29	-87.5
29	-87
29	-86.5
29	-86
29	-85.5
29	-85
29.5	-120
29.5	-119.5
29.5	-119
29.5	-118.5
29.5	-118
29.5	-117.5
29.5	-117
29.5	-116.5
29.5	-116
29.5	-115.5
29.5	-113
29.5	-112.5
29.5	-94
29.5	-93.5
29.5	-93
29.5	-92.5
29.5	-92
29.5	-89
29.5	-88.5
29.5	-88
29.5	-87.5
29.5	-87
29.5	-86.5
29.5	-86
29.5	-85.5
29.5	-85
30	-120
30	-119.5
30	-119
30	-118.5
30	-118
30	-117.5
30	-117
30	-116.5
30	-116
30	-114
30	-113.5
30	-113
30	-89
30	-88.5
30	-88
30	-87.5
30	-87
30	-86.5
30	-86
30.5	-120
30.5	-119.5
30.5	-119
30.5	-118.5
30.5	-118
30.5	-117.5
30.5	-117
30.5	-116.5
30.5	-114.5
30.5	-114
30.5	-113.5
30.5	-113
31	-120
31	-119.5
31	-119
31	-118.5
31	-118
31	-117.5
31	-117
31	-116.5
31	-114.5
31	-114
31	-113.5
31.5	-120
31.5	-119.5
31.5	-119
31.5	-118.5
31.5	-118
31.5	-117.5
31.5	-117
31.5	-114.5
32	-120
32	-119.5
32	-119
32	-118.5
32	-118
32	-117.5
32	-117
32.5	-120
32.5	-119.5
32.5	-119
32.5	-118.5
32.5	-118
32.5	-117.5
33	-120
33	-119.5
33	-119
33	-118.5
33	-118
33	-117.5

